title,genre,country,device,watch_time,completion_rate
The Witcher,Documentary,Brazil,Tablet,80,79.84250789732435
Money Heist,Comedy,Brazil,Desktop,107,66.68543055695109
Wednesday,Documentary,India,Tablet,49,60.61695553391381
The Witcher,Documentary,United States,Tablet,77,76.2378215816119
The Witcher,Drama,United States,Desktop,78,69.99304858576278
The Witcher,Action,Brazil,Tablet,74,99.1615442903394
Stranger Things,Comedy,Canada,Desktop,26,58.526206184364575
Money Heist,Action,United States,Tablet,33,90.41986740582306
Stranger Things,Thriller,Canada,TV,103,62.05127330130058
The Witcher,Action,Canada,Tablet,66,58.6682326753886
Stranger Things,Action,India,Tablet,23,65.58555380447055
Money Heist,Action,Canada,Desktop,37,88.75664116805572
Money Heist,Thriller,United Kingdom,TV,114,96.09371175115584
The Witcher,Drama,Canada,Tablet,101,76.98460661945398
Money Heist,Drama,United Kingdom,Tablet,60,64.81367528520411
Bridgerton,Drama,United States,Desktop,28,88.61223846483287
The Witcher,Comedy,Brazil,Mobile,27,86.45035840204937
Stranger Things,Comedy,Canada,TV,60,95.74798377718903
Stranger Things,Action,India,Mobile,67,68.54091260991332
Bridgerton,Comedy,United Kingdom,Tablet,105,94.36063712881634
Stranger Things,Comedy,Canada,Desktop,97,92.4456912133042
Bridgerton,Thriller,Brazil,Mobile,98,71.37705091792748
Money Heist,Action,Canada,Desktop,82,94.78817978367597
Stranger Things,Action,Canada,Tablet,23,95.37832369630465
Bridgerton,Comedy,Canada,Tablet,32,53.84899549143965
Wednesday,Comedy,United Kingdom,TV,61,90.40601897822086
Stranger Things,Documentary,United Kingdom,Tablet,63,70.8254973935183
Wednesday,Thriller,United Kingdom,Mobile,81,55.50259622638384
Stranger Things,Comedy,United States,Tablet,96,93.03652916281717
Wednesday,Drama,Canada,Mobile,70,63.470616689926075
Wednesday,Drama,United Kingdom,Mobile,81,98.58910413604804
The Witcher,Action,India,Desktop,75,51.84434736772664
Stranger Things,Thriller,India,Tablet,73,51.65253664502742
Stranger Things,Drama,Brazil,TV,21,76.54672916585682
Money Heist,Action,Brazil,Tablet,36,86.41081743059297
